iter	Passed	Remaining
859	15422	2510
860	15435	2491
861	15447	2473
862	15459	2454
863	15471	2435
864	15483	2416
865	15496	2397
866	15508	2379
867	15520	2360
868	15532	2341
869	15545	2322
870	15557	2304
871	15568	2285
872	15582	2266
873	15594	2248
874	15608	2229
875	15620	2211
876	15632	2192
877	15644	2173
878	15658	2155
879	15671	2136
880	15683	2118
881	15695	2099
882	15708	2081
883	15720	2062
884	15733	2044
885	15746	2026
886	15758	2007
887	15771	1989
888	15784	1970
889	15796	1952
890	15808	1933
891	15820	1915
892	15834	1897
893	15846	1878
894	15859	1860
895	15872	1842
896	15885	1824
897	15897	1805
898	15909	1787
899	15922	1769
900	15935	1750
901	15947	1732
902	15959	1714
903	15971	1696
904	15984	1677
905	15998	1659
906	16009	1641
907	16022	1623
908	16034	1605
909	16048	1587
910	16060	1569
911	16073	1550
912	16085	1532
913	16096	1514
914	16109	1496
915	16122	1478
916	16137	1460
917	16152	1442
918	16164	1424
919	16177	1406
920	16189	1388
921	16202	1370
922	16215	1352
923	16227	1334
924	16239	1316
925	16251	1298
926	16266	1280
927	16279	1263
928	16291	1245
929	16303	1227
930	16318	1209
931	16330	1191
932	16343	1173
933	16355	1155
934	16368	1137
935	16380	1120
936	16391	1102
937	16404	1084
938	16416	1066
939	16428	1048
940	16439	1030
941	16453	1013
942	16466	995
943	16478	977
944	16490	959
945	16503	942
946	16515	924
947	16528	906
948	16541	888
949	16553	871
950	16565	853
951	16577	835
952	16589	818
953	16602	800
954	16614	782
955	16627	765
956	16639	747
957	16652	730
958	16664	712
959	16676	694
960	16687	677
961	16701	659
962	16714	642
963	16727	624
964	16738	607
965	16751	589
966	16764	572
967	16776	554
968	16788	537
969	16800	519
970	16812	502
971	16825	484
972	16837	467
973	16849	449
974	16861	432
975	16874	414
976	16886	397
977	16899	380
978	16911	362
979	16923	345
980	16936	328
981	16948	310
982	16961	293
983	16973	275
984	16985	258
985	16998	241
986	17010	224
987	17023	206
988	17035	189
989	17047	172
990	17060	154
991	17073	137
992	17086	120
993	17097	103
994	17109	85
995	17122	68
996	17136	51
997	17150	34
998	17164	17
999	17179	0
